cbsasub,_id,state_name,State_Alpha,Metro_Area_Name,county_town_name,County_Name,state,county,metro,median2017,l50_2_17,ELI_2_17,l80_2_17,median2022,l50_2_22,ELI_2_22,l80_2_22
METRO19460M19460,107999999,Alabama,AL,"Decatur, AL MSA",Lawrence County,Lawrence County,1,79,1,57700,23100,16240,36950,70600,28250,18310,45200
METRO12220M12220,108199999,Alabama,AL,"Auburn-Opelika, AL MSA",Lee County,Lee County,1,81,1,59200,23700,16240,37900,90000,34900,20950,55800
METRO26620M26620,108399999,Alabama,AL,"Huntsville, AL MSA",Limestone County,Limestone County,1,83,1,78200,30750,18450,49200,92700,37100,22250,59350
METRO33860M33860,108599999,Alabama,AL,"Montgomery, AL MSA",Lowndes County,Lowndes County,1,85,1,59700,23900,16240,38200,75500,30200,18310,48350
NCNTY01087N01087,108799999,Alabama,AL,"Macon County, AL",Macon County,Macon County,1,87,0,42300,18300,16240,29250,54200,24650,18310,39450
METRO26620M26620,108999999,Alabama,AL,"Huntsville, AL MSA",Madison County,Madison County,1,89,1,78200,30750,18450,49200,92700,37100,22250,59350
NCNTY01091N01091,109199999,Alabama,AL,"Marengo County, AL",Marengo County,Marengo County,1,91,0,50300,20150,16240,32200,65600,24800,18310,39600
NCNTY01093N01093,109399999,Alabama,AL,"Marion County, AL",Marion County,Marion County,1,93,0,43500,18300,16240,29250,53700,24650,18310,39450
NCNTY01095N01095,109599999,Alabama,AL,"Marshall County, AL",Marshall County,Marshall County,1,95,0,43000,19300,16240,30850,65500,25400,18310,40600
METRO33660M33660,109799999,Alabama,AL,"Mobile, AL HUD Metro FMR Area",Mobile County,Mobile County,1,97,1,55100,22050,16240,35300,68000,26150,18310,41800
NCNTY01099N01099,109999999,Alabama,AL,"Monroe County, AL",Monroe County,Monroe County,1,99,0,41300,18300,16240,29250,54900,24650,18310,39450
METRO33860M33860,110199999,Alabama,AL,"Montgomery, AL MSA",Montgomery County,Montgomery County,1,101,1,59700,23900,16240,38200,75500,30200,18310,48350
METRO19460M19460,110399999,Alabama,AL,"Decatur, AL MSA",Morgan County,Morgan County,1,103,1,57700,23100,16240,36950,70600,28250,18310,45200
NCNTY01105N01105,110599999,Alabama,AL,"Perry County, AL",Perry County,Perry County,1,105,0,31100,18300,16240,29250,37600,24650,18310,39450
METRO46220N01107,110799999,Alabama,AL,"Pickens County, AL HUD Metro FMR Area",Pickens County,Pickens County,1,107,1,42100,18300,16240,29250,60100,24650,18310,39450
NCNTY01109N01109,110999999,Alabama,AL,"Pike County, AL",Pike County,Pike County,1,109,0,47300,18950,16240,30300,63400,24650,18310,39450
NCNTY01111N01111,111199999,Alabama,AL,"Randolph County, AL",Randolph County,Randolph County,1,111,0,46400,18600,16240,29700,60600,24650,18310,39450
METRO17980M17980,111399999,Alabama,AL,"Columbus, GA-AL HUD Metro FMR Area",Russell County,Russell County,1,113,1,53400,21400,16240,34200,68200,27300,18310,43650
METRO13820M13820,111599999,Alabama,AL,"Birmingham-Hoover, AL HUD Metro FMR Area",St. Clair County,St. Clair County,1,115,1,63100,25250,16240,40400,84800,33950,20400,54300
METRO13820M13820,111799999,Alabama,AL,"Birmingham-Hoover, AL HUD Metro FMR Area",Shelby County,Shelby County,1,117,1,63100,25250,16240,40400,84800,33950,20400,54300
NCNTY01119N01119,111999999,Alabama,AL,"Sumter County, AL",Sumter County,Sumter County,1,119,0,38600,18300,16240,29250,48800,24650,18310,39450
NCNTY01121N01121,112199999,Alabama,AL,"Talladega County, AL",Talladega County,Talladega County,1,121,0,47700,19100,16240,30550,72600,24650,18310,39450
NCNTY01123N01123,112399999,Alabama,AL,"Tallapoosa County, AL",Tallapoosa County,Tallapoosa County,1,123,0,48500,19400,16240,31050,62700,25300,18310,40450
METRO46220M46220,112599999,Alabama,AL,"Tuscaloosa, AL HUD Metro FMR Area",Tuscaloosa County,Tuscaloosa County,1,125,1,61100,23750,16240,38000,77600,31050,18650,49700
NCNTY01127N01127,112799999,Alabama,AL,"Walker County, AL",Walker County,Walker County,1,127,0,46800,18750,16240,30000,63900,25600,18310,40900
METRO33660M01129,112999999,Alabama,AL,"Washington County, AL HUD Metro FMR Area",Washington County,Washington County,1,129,1,53700,21500,16240,34400,58800,24650,18310,39450
NCNTY01131N01131,113199999,Alabama,AL,"Wilcox County, AL",Wilcox County,Wilcox County,1,131,0,29300,18300,16240,29250,47200,24650,18310,39450
NCNTY01133N01133,113399999,Alabama,AL,"Winston County, AL",Winston County,Winston County,1,133,0,43200,18300,16240,29250,53200,24650,18310,39450
NCNTY02013N02013,201399999,Alaska,AK,"Aleutians East Borough, AK",Aleutians East Borough,Aleutians East Borough,2,13,0,65200,31400,20290,50200,86400,36800,22890,58800
NCNTY02016N02016,201699999,Alaska,AK,"Aleutians West Census Area, AK",Aleutians West Census Area,Aleutians West Census Area,2,16,0,90200,38300,23000,60000,106200,42500,25500,68000
METRO11260M11260,202099999,Alaska,AK,"Anchorage, AK HUD Metro FMR Area",Anchorage Municipality,Anchorage Municipality,2,20,1,89000,35600,21400,54400,116300,46550,27950,71550
NCNTY02050N02050,205099999,Alaska,AK,"Bethel Census Area, AK",Bethel Census Area,Bethel Census Area,2,50,0,53900,33800,20300,54100,60000,39600,23800,63400
NCNTY02060N02060,206099999,Alaska,AK,"Bristol Bay Borough, AK",Bristol Bay Borough,Bristol Bay Borough,2,60,0,95000,38000,22800,54400,109200,43700,26200,69900
NCNTY02068N02068,206899999,Alaska,AK,"Denali Borough, AK",Denali Borough,Denali Borough,2,68,0,105800,42350,25400,56250,117600,47050,28250,71550
NCNTY02070N02070,207099999,Alaska,AK,"Dillingham Census Area, AK",Dillingham Census Area,Dillingham Census Area,2,70,0,59100,31400,20290,50200,62000,36800,22890,58800
METRO21820M21820,209099999,Alaska,AK,"Fairbanks, AK MSA",Fairbanks North Star Borough,Fairbanks North Star Borough,2,90,1,84800,33950,20400,54300,97800,39150,23500,62600
NCNTY02100N02100,210099999,Alaska,AK,"Haines Borough, AK",Haines Borough,Haines Borough,2,100,0,68300,31400,20290,50200,88000,36800,22890,58800
NCNTY02105N02105,210599999,Alaska,AK,"Hoonah-Angoon Census Area, AK",Hoonah-Angoon Census Area,Hoonah-Angoon Census Area,2,105,0,61500,31400,20290,50200,75000,36800,22890,58800
NCNTY02110N02110,211099999,Alaska,AK,"Juneau City and Borough, AK",Juneau City and Borough,Juneau City and Borough,2,110,0,101500,40600,24400,54650,120900,48400,29000,71550
NCNTY02122N02122,212299999,Alaska,AK,"Kenai Peninsula Borough, AK",Kenai Peninsula Borough,Kenai Peninsula Borough,2,122,0,79800,31950,20290,51100,98400,39400,23600,63000
NCNTY02130N02130,213099999,Alaska,AK,"Ketchikan Gateway Borough, AK",Ketchikan Gateway Borough,Ketchikan Gateway Borough,2,130,0,87400,35000,21000,54400,100800,39950,24000,63850
NCNTY02150N02150,215099999,Alaska,AK,"Kodiak Island Borough, AK",Kodiak Island Borough,Kodiak Island Borough,2,150,0,82300,32950,20290,52700,108400,43400,26000,69400
NCNTY02164N02164,216499999,Alaska,AK,"Lake and Peninsula Borough, AK",Lake and Peninsula Borough,Lake and Peninsula Borough,2,164,0,55900,31400,20290,50200,53200,36800,22890,58800
METRO11260N02170,217099999,Alaska,AK,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",Matanuska-Susitna Borough,Matanuska-Susitna Borough,2,170,1,90400,36200,21700,54400,94800,37950,22890,60700
NCNTY02180N02180,218099999,Alaska,AK,"Nome Census Area, AK",Nome Census Area,Nome Census Area,2,180,0,47800,34350,20600,54900,66200,36900,22890,59000
NCNTY02185N02185,218599999,Alaska,AK,"North Slope Borough, AK",North Slope Borough,North Slope Borough,2,185,0,85800,34350,20600,54400,92700,37600,22890,60100
NCNTY02188N02188,218899999,Alaska,AK,"Northwest Arctic Borough, AK",Northwest Arctic Borough,Northwest Arctic Borough,2,188,0,62800,31400,20290,50200,65200,36800,22890,58800
NCNTY02195N02195,219599999,Alaska,AK,Petersburg Borough,Petersburg Borough,Petersburg Borough,2,195,0,87500,35000,21000,54400,92400,36800,22890,58800
NCNTY02198N02198,219899999,Alaska,AK,"Prince of Wales-Hyder Census Area, AK",Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area,2,198,0,61500,31400,20290,50200,71900,36800,22890,58800
NCNTY02220N02220,222099999,Alaska,AK,"Sitka City and Borough, AK",Sitka City and Borough,Sitka City and Borough,2,220,0,82300,32950,20290,52700,102200,40900,24550,65400
NCNTY02230N02230,223099999,Alaska,AK,"Skagway Municipality, AK",Skagway Municipality,Skagway Municipality,2,230,0,87000,34800,20900,54400,92500,37000,22890,59200
NCNTY02240N02240,224099999,Alaska,AK,"Southeast Fairbanks Census Area, AK",Southeast Fairbanks Census Area,Southeast Fairbanks Census Area,2,240,0,75800,31400,20290,50200,94500,37800,22890,60500
NCNTY02261N02261,226199999,Alaska,AK,"Valdez-Cordova Census Area, AK",Valdez-Cordova Census Area,Valdez-Cordova Census Area,2,261,0,100900,38700,23200,54400,110200,44100,26450,70550
NCNTY02275N02275,227599999,Alaska,AK,"Wrangell City and Borough, AK",Wrangell City and Borough,Wrangell City and Borough,2,275,0,68200,31400,20290,50200,77400,36800,22890,58800
NCNTY02282N02282,228299999,Alaska,AK,"Yakutat City and Borough, AK",Yakutat City and Borough,Yakutat City and Borough,2,282,0,78400,31600,20290,50500,89000,36900,22890,59000
NCNTY02290N02290,229099999,Alaska,AK,"Yukon-Koyukuk Census Area, AK",Yukon-Koyukuk Census Area,Yukon-Koyukuk Census Area,2,290,0,49600,31400,20290,50200,57300,36800,22890,58800
NCNTY04001N04001,400199999,Arizona,AZ,"Apache County, AZ",Apache County,Apache County,4,1,0,43500,18850,16240,30200,45800,22200,18310,35450
METRO43420M43420,400399999,Arizona,AZ,"Sierra Vista-Douglas, AZ MSA",Cochise County,Cochise County,4,3,1,55900,22400,16240,35800,64500,25800,18310,41300
METRO22380M22380,400599999,Arizona,AZ,"Flagstaff, AZ MSA",Coconino County,Coconino County,4,5,1,62800,25150,16240,40200,85200,34400,20600,55000
NCNTY04007N04007,400799999,Arizona,AZ,"Gila County, AZ",Gila County,Gila County,4,7,0,51000,20400,16240,32650,57200,24100,18310,38550
NCNTY04009N04009,400999999,Arizona,AZ,"Graham County, AZ",Graham County,Graham County,4,9,0,54800,21950,16240,35100,66100,26450,18310,42350
NCNTY04011N04011,401199999,Arizona,AZ,"Greenlee County, AZ",Greenlee County,Greenlee County,4,11,0,54000,21600,16240,34600,71700,28700,18310,45900
NCNTY04012N04012,401299999,Arizona,AZ,"La Paz County, AZ",La Paz County,La Paz County,4,12,0,45100,18850,16240,30200,49400,23500,18310,37600
METRO38060M38060,401399999,Arizona,AZ,"Phoenix-Mesa-Scottsdale, AZ MSA",Maricopa County,Maricopa County,4,13,1,66200,26500,16240,42400,88800,35350,21200,56550
METRO29420M29420,401599999,Arizona,AZ,"Lake Havasu City-Kingman, AZ MSA",Mohave County,Mohave County,4,15,1,46000,18850,16240,30200,63100,24950,18310,39850
NCNTY04017N04017,401799999,Arizona,AZ,"Navajo County, AZ",Navajo County,Navajo County,4,17,0,43200,18850,16240,30200,50900,22200,18310,35450
METRO46060M46060,401999999,Arizona,AZ,"Tucson, AZ MSA",Pima County,Pima County,4,19,1,59300,23750,16240,38000,81100,30700,18400,49100
METRO38060M38060,402199999,Arizona,AZ,"Phoenix-Mesa-Scottsdale, AZ MSA",Pinal County,Pinal County,4,21,1,66200,26500,16240,42400,88800,35350,21200,56550
NCNTY04023N04023,402399999,Arizona,AZ,"Santa Cruz County, AZ",Santa Cruz County,Santa Cruz County,4,23,0,44500,18850,16240,30200,52000,22200,18310,35450
METRO39140M39140,402599999,Arizona,AZ,"Prescott, AZ MSA",Yavapai County,Yavapai County,4,25,1,54800,21950,16240,35100,76200,28550,18310,45650
METRO49740M49740,402799999,Arizona,AZ,"Yuma, AZ MSA",Yuma County,Yuma County,4,27,1,44500,20300,16240,32450,57200,22900,18310,36600
NCNTY05001N05001,500199999,Arkansas,AR,"Arkansas County, AR",Arkansas County,Arkansas County,5,1,0,50000,20000,16240,32000,63600,24350,18310,38950
NCNTY05003N05003,500399999,Arkansas,AR,"Ashley County, AR",Ashley County,Ashley County,5,3,0,45300,18600,16240,29800,62200,24200,18310,38750
NCNTY05005N05005,500599999,Arkansas,AR,"Baxter County, AR",Baxter County,Baxter County,5,5,0,48800,19550,16240,31250,56300,24100,18310,38550
METRO22220M22220,500799999,Arkansas,AR,"Fayetteville-Springdale-Rogers, AR MSA",Benton County,Benton County,5,7,1,66100,26400,16240,42150,83700,33500,20100,53600
NCNTY05009N05009,500999999,Arkansas,AR,"Boone County, AR",Boone County,Boone County,5,9,0,49000,19600,16240,31400,58900,24100,18310,38550
NCNTY05011N05011,501199999,Arkansas,AR,"Bradley County, AR",Bradley County,Bradley County,5,11,0,41400,18600,16240,29800,59000,24100,18310,38550
NCNTY05013N05013,501399999,Arkansas,AR,"Calhoun County, AR",Calhoun County,Calhoun County,5,13,0,48400,19400,16240,31000,66200,24650,18310,39450
NCNTY05015N05015,501599999,Arkansas,AR,"Carroll County, AR",Carroll County,Carroll County,5,15,0,46800,18750,16240,30000,64100,25200,18310,40250
NCNTY05017N05017,501799999,Arkansas,AR,"Chicot County, AR",Chicot County,Chicot County,5,17,0,35100,18600,16240,29800,47200,24100,18310,38550
NCNTY05019N05019,501999999,Arkansas,AR,"Clark County, AR",Clark County,Clark County,5,19,0,51600,20650,16240,33050,65300,26150,18310,41800
NCNTY05021N05021,502199999,Arkansas,AR,"Clay County, AR",Clay County,Clay County,5,21,0,41700,18600,16240,29800,56300,24100,18310,38550
NCNTY05023N05023,502399999,Arkansas,AR,"Cleburne County, AR",Cleburne County,Cleburne County,5,23,0,52600,21050,16240,33700,61200,24500,18310,39200
METRO38220M38220,502599999,Arkansas,AR,"Pine Bluff, AR MSA",Cleveland County,Cleveland County,5,25,1,47700,19100,16240,30550,60000,24100,18310,38550
NCNTY05027N05027,502799999,Arkansas,AR,"Columbia County, AR",Columbia County,Columbia County,5,27,0,53600,20850,16240,33350,53400,24100,18310,38550
NCNTY05029N05029,502999999,Arkansas,AR,"Conway County, AR",Conway County,Conway County,5,29,0,49800,19950,16240,31900,61200,24500,18310,39200
METRO27860MM3700,503199999,Arkansas,AR,"Jonesboro, AR HUD Metro FMR Area",Craighead County,Craighead County,5,31,1,51100,20450,16240,32750,71100,26400,18310,42200
METRO22900M22900,503399999,Arkansas,AR,"Fort Smith, AR-OK HUD Metro FMR Area",Crawford County,Crawford County,5,33,1,49800,19950,16240,31900,62600,24300,18310,38850
METRO32820M32820,503599999,Arkansas,AR,"Memphis, TN-MS-AR HUD Metro FMR Area",Crittenden County,Crittenden County,5,35,1,60000,24000,16240,38400,77300,30750,18450,49200
NCNTY05037N05037,503799999,Arkansas,AR,"Cross County, AR",Cross County,Cross County,5,37,0,48800,19550,16240,31250,67800,25450,18310,40750
NCNTY05039N05039,503999999,Arkansas,AR,"Dallas County, AR",Dallas County,Dallas County,5,39,0,48300,19150,16240,30600,57500,24100,18310,38550
NCNTY05041N05041,504199999,Arkansas,AR,"Desha County, AR",Desha County,Desha County,5,41,0,43500,18600,16240,29800,46100,24100,18310,38550
NCNTY05043N05043,504399999,Arkansas,AR,"Drew County, AR",Drew County,Drew County,5,43,0,44900,18600,16240,29800,70600,25300,18310,40450
METRO30780M30780,504599999,Arkansas,AR,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Faulkner County,Faulkner County,5,45,1,62500,25000,16240,40000,78700,31500,18900,50400
METRO22900M05047,504799999,Arkansas,AR,"Franklin County, AR HUD Metro FMR Area",Franklin County,Franklin County,5,47,1,46500,18600,16240,29800,57800,24100,18310,38550
NCNTY05049N05049,504999999,Arkansas,AR,"Fulton County, AR",Fulton County,Fulton County,5,49,0,43000,18600,16240,29800,51300,24100,18310,38550
METRO26300M26300,505199999,Arkansas,AR,"Hot Springs, AR MSA",Garland County,Garland County,5,51,1,54400,21800,16240,34800,60500,24200,18310,38750
METRO30780N05053,505399999,Arkansas,AR,"Grant County, AR HUD Metro FMR Area",Grant County,Grant County,5,53,1,58600,23450,16240,37550,72300,28650,18310,45800
NCNTY05055N05055,505599999,Arkansas,AR,"Greene County, AR",Greene County,Greene County,5,55,0,50700,20300,16240,32450,63000,25200,18310,40350
NCNTY05057N05057,505799999,Arkansas,AR,"Hempstead County, AR",Hempstead County,Hempstead County,5,57,0,45300,18600,16240,29800,59400,24100,18310,38550
NCNTY05059N05059,505999999,Arkansas,AR,"Hot Spring County, AR",Hot Spring County,Hot Spring County,5,59,0,51300,20550,16240,32850,60200,24100,18310,38550
NCNTY05061N05061,506199999,Arkansas,AR,"Howard County, AR",Howard County,Howard County,5,61,0,43100,18600,16240,29800,56100,24100,18310,38550
NCNTY05063N05063,506399999,Arkansas,AR,"Independence County, AR",Independence County,Independence County,5,63,0,46300,18600,16240,29800,60600,24250,18310,38800
NCNTY05065N05065,506599999,Arkansas,AR,"Izard County, AR",Izard County,Izard County,5,65,0,41100,18600,16240,29800,60400,24200,18310,38650
NCNTY05067N05067,506799999,Arkansas,AR,"Jackson County, AR",Jackson County,Jackson County,5,67,0,42000,18600,16240,29800,49200,24100,18310,38550
METRO38220M38220,506999999,Arkansas,AR,"Pine Bluff, AR MSA",Jefferson County,Jefferson County,5,69,1,47700,19100,16240,30550,60000,24100,18310,38550
NCNTY05071N05071,507199999,Arkansas,AR,"Johnson County, AR",Johnson County,Johnson County,5,71,0,40300,18600,16240,29800,51100,24100,18310,38550
NCNTY05073N05073,507399999,Arkansas,AR,"Lafayette County, AR",Lafayette County,Lafayette County,5,73,0,41400,18600,16240,29800,48600,24100,18310,38550
NCNTY05075N05075,507599999,Arkansas,AR,"Lawrence County, AR",Lawrence County,Lawrence County,5,75,0,45100,18600,16240,29800,56600,24100,18310,38550
NCNTY05077N05077,507799999,Arkansas,AR,"Lee County, AR",Lee County,Lee County,5,77,0,35500,18600,16240,29800,56000,24100,18310,38550
METRO38220M38220,507999999,Arkansas,AR,"Pine Bluff, AR MSA",Lincoln County,Lincoln County,5,79,1,47700,19100,16240,30550,60000,24100,18310,38550
METRO45500N05081,508199999,Arkansas,AR,"Little River County, AR HUD Metro FMR Area",Little River County,Little River County,5,81,1,50500,20200,16240,32350,66500,25600,18310,40950
NCNTY05083N05083,508399999,Arkansas,AR,"Logan County, AR",Logan County,Logan County,5,83,0,47500,19000,16240,30400,54800,24100,18310,38550
METRO30780M30780,508599999,Arkansas,AR,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Lonoke County,Lonoke County,5,85,1,62500,25000,16240,40000,78700,31500,18900,50400
METRO22220M22220,508799999,Arkansas,AR,"Fayetteville-Springdale-Rogers, AR MSA",Madison County,Madison County,5,87,1,66100,26400,16240,42150,83700,33500,20100,53600
NCNTY05089N05089,508999999,Arkansas,AR,"Marion County, AR",Marion County,Marion County,5,89,0,41000,18600,16240,29800,51700,24100,18310,38550
METRO45500M45500,509199999,Arkansas,AR,"Texarkana, TX-Texarkana, AR HUD Metro FMR Area",Miller County,Miller County,5,91,1,52600,21700,16240,34700,71300,27250,18310,43600
NCNTY05093N05093,509399999,Arkansas,AR,"Mississippi County, AR",Mississippi County,Mississippi County,5,93,0,41800,18600,16240,29800,54500,24100,18310,38550
NCNTY05095N05095,509599999,Arkansas,AR,"Monroe County, AR",Monroe County,Monroe County,5,95,0,38600,18600,16240,29800,56300,24100,18310,38550
NCNTY05097N05097,509799999,Arkansas,AR,"Montgomery County, AR",Montgomery County,Montgomery County,5,97,0,43100,18600,16240,29800,52600,24100,18310,38550
NCNTY05099N05099,509999999,Arkansas,AR,"Nevada County, AR",Nevada County,Nevada County,5,99,0,44300,18600,16240,29800,50400,24100,18310,38550
NCNTY05101N05101,510199999,Arkansas,AR,"Newton County, AR",Newton County,Newton County,5,101,0,44000,18600,16240,29800,57400,24100,18310,38550
NCNTY05103N05103,510399999,Arkansas,AR,"Ouachita County, AR",Ouachita County,Ouachita County,5,103,0,45200,18600,16240,29800,53800,24100,18310,38550
METRO30780M30780,510599999,Arkansas,AR,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Perry County,Perry County,5,105,1,62500,25000,16240,40000,78700,31500,18900,50400
NCNTY05107N05107,510799999,Arkansas,AR,"Phillips County, AR",Phillips County,Phillips County,5,107,0,37200,18600,16240,29800,43100,24100,18310,38550
NCNTY05109N05109,510999999,Arkansas,AR,"Pike County, AR",Pike County,Pike County,5,109,0,40700,18600,16240,29800,57600,24100,18310,38550
METRO27860N05111,511199999,Arkansas,AR,"Poinsett County, AR HUD Metro FMR Area",Poinsett County,Poinsett County,5,111,1,42100,18600,16240,29800,55100,24100,18310,38550
NCNTY05113N05113,511399999,Arkansas,AR,"Polk County, AR",Polk County,Polk County,5,113,0,42800,18600,16240,29800,49300,24100,18310,38550
NCNTY05115N05115,511599999,Arkansas,AR,"Pope County, AR",Pope County,Pope County,5,115,0,51000,20400,16240,32650,60900,24200,18310,38750
NCNTY05117N05117,511799999,Arkansas,AR,"Prairie County, AR",Prairie County,Prairie County,5,117,0,44800,18600,16240,29800,62300,24200,18310,38750
METRO30780M30780,511999999,Arkansas,AR,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Pulaski County,Pulaski County,5,119,1,62500,25000,16240,40000,78700,31500,18900,50400
